,ID 740,ID 740,ID 740,ID 740,ID 740,ID 740,ID 740,ID 795,ID 795,ID 795,ID 795,ID 795,ID 795,ID 795,ID 787,ID 787,ID 787,ID 787,ID 787,ID 787,ID 787,ID 1083,ID 1083,ID 1083,ID 1083,ID 1083,ID 1083,ID 1083,ID 867,ID 867,ID 867,ID 867,ID 867,ID 867,ID 867,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 635,ID 635,ID 635,ID 635,ID 635,ID 635,ID 635,ID 621,ID 621,ID 621,ID 621,ID 621,ID 621,ID 621,ID 890,ID 890,ID 890,ID 890,ID 890,ID 890,ID 890,ID 874,ID 874,ID 874,ID 874,ID 874,ID 874,ID 874,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684,ID 773,ID 773,ID 773,ID 773,ID 773,ID 773,ID 773,ID 1184,ID 1184,ID 1184,ID 1184,ID 1184,ID 1184,ID 1184,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 1121,ID 1121,ID 1121,ID 1121,ID 1121,ID 1121,ID 1121,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 920,ID 920,ID 920,ID 920,ID 920,ID 920,ID 920,ID 894,ID 894,ID 894,ID 894,ID 894,ID 894,ID 894,ID 1041,ID 1041,ID 1041,ID 1041,ID 1041,ID 1041,ID 1041
,ERM,ERM,ERM,ERM,ERM,ERM,ERM,MAYER,MAYER,MAYER,MAYER,MAYER,MAYER,MAYER,GLETTY,GLETTY,GLETTY,GLETTY,GLETTY,GLETTY,GLETTY,SKOTHEIM,SKOTHEIM,SKOTHEIM,SKOTHEIM,SKOTHEIM,SKOTHEIM,SKOTHEIM,KAUL,KAUL,KAUL,KAUL,KAUL,KAUL,KAUL,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,VAN DER PLAETSEN,VAN DER PLAETSEN,VAN DER PLAETSEN,VAN DER PLAETSEN,VAN DER PLAETSEN,VAN DER PLAETSEN,VAN DER PLAETSEN,HAUTTEKEETE,HAUTTEKEETE,HAUTTEKEETE,HAUTTEKEETE,HAUTTEKEETE,HAUTTEKEETE,HAUTTEKEETE,WOLTER,WOLTER,WOLTER,WOLTER,WOLTER,WOLTER,WOLTER,NOWAK,NOWAK,NOWAK,NOWAK,NOWAK,NOWAK,NOWAK,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,BASTIEN,BASTIEN,BASTIEN,BASTIEN,BASTIEN,BASTIEN,BASTIEN,GAIO,GAIO,GAIO,GAIO,GAIO,GAIO,GAIO,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,TESSELAAR,TESSELAAR,TESSELAAR,TESSELAAR,TESSELAAR,TESSELAAR,TESSELAAR,WIESIOLEK,WIESIOLEK,WIESIOLEK,WIESIOLEK,WIESIOLEK,WIESIOLEK,WIESIOLEK,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,GALPAL,GALPAL,GALPAL,GALPAL,GALPAL,GALPAL,GALPAL,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,PESIC,PESIC,PESIC,PESIC,PESIC,PESIC,PESIC
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.000,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.579,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.680,46.05,77.541,0.000,0.000,0.000,0.000,.00,46.731,78.142,0.000,0.000,0.000,0.000,.00,46.968,78.879,0.000,0.000,0.000,0.000,.00,47.182,79.796,0.000,0.000,0.000,0.000,.00,47.473,80.363,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,47.14,81.419,0.000,0.000,0.000,0.000,.00,47.752,81.584,0.000,0.000,0.000,0.000,.00,48.298,82.299,0.000,0.000,0.000,0.000,.00,48.177,83.163,0.000,0.000,0.000,0.000,.00,47.565,82.84,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,47.133,84.316,0.000,0.000,0.000,0.000,.00,47.616,84.538,0.000,0.000,0.000,0.000,.00,47.219,85.099,0.000,0.000,0.000,0.000,.00,46.275,85.933,0.000,0.000,0.000,0.000,.00,46.401,86.439,0.000,0.000,0.000,0.000,.00,45.898,86.665,0.000,0.000,0.244,0.244,.00,45.897,87.312,0.000,0.000,0.498,0.498,.00,45.713,87.669,0.000,0.000,0.806,0.806,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.680,46.05,77.541,0.000,0.000,0.000,0.000,.00,46.731,78.142,0.000,0.000,0.000,0.000,.00,46.968,78.879,0.000,0.000,0.000,0.000,.00,47.182,79.796,0.000,0.000,0.000,0.000,.00,47.473,80.363,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,47.14,81.419,0.000,0.000,0.000,0.000,.00,47.752,81.584,0.000,0.000,0.000,0.000,.00,48.298,82.299,0.000,0.000,0.000,0.000,.00,48.177,83.163,0.000,0.000,0.000,0.000,.00,47.565,82.84,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,47.133,84.316,0.000,0.000,0.000,0.000,.00,47.616,84.538,0.000,0.000,0.000,0.000,.00,47.219,85.099,0.000,0.000,0.000,0.000,.00,46.275,85.933,0.000,0.000,0.000,0.000,.00,46.401,86.439,0.000,0.000,0.000,0.000,.00,45.898,86.665,0.000,0.000,0.244,0.244,.00,45.897,87.312,0.000,0.000,0.498,0.498,.00,45.713,87.669,0.000,0.000,0.806,0.806,.00,0,0,0.000,0.000,0.000,0.000,.00
00:00.680,46.05,77.541,0.000,0.000,0.000,0.000,.00,46.731,78.142,0.000,0.000,0.000,0.000,.00,46.968,78.879,0.000,0.000,0.000,0.000,.00,47.182,79.796,0.000,0.000,0.000,0.000,.00,47.473,80.363,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,47.14,81.419,0.000,0.000,0.000,0.000,.00,47.752,81.584,0.000,0.000,0.000,0.000,.00,48.298,82.299,0.000,0.000,0.000,0.000,.00,48.177,83.163,0.000,0.000,0.000,0.000,.00,47.565,82.84,0.000,0.000,0.000,0.000,.00,0,0,0.000,0.000,0.000,0.000,.00,47.133,84.316,0.000,0.000,0.000,0.000,.00,47.616,84.538,0.000,0.000,0.000,0.000,.00,47.219,85.099,0.000,0.000,0.000,0.000,.00,46.275,85.933,0.000,0.000,0.000,0.000,.00,46.401,86.439,0.000,0.000,0.000,0.000,.00,45.898,86.665,0.000,0.000,0.244,0.244,.00,45.897,87.312,0.000,0.000,0.498,0.498,.00,45.713,87.669,0.285,0.000,0.806,0.806,.00,0,0,0.333,0.000,0.000,0.000,.00
00:00.780,46.059,77.593,0.000,0.000,0.000,0.000,22.27,46.565,78.006,0.000,0.000,0.000,0.000,22.21,46.947,78.881,0.000,0.000,0.000,0.000,22.56,47.219,79.704,0.000,0.000,0.000,0.000,23.06,47.401,80.381,0.000,0.000,0.000,0.000,23.26,0,0,0.000,0.000,0.000,0.000,.00,47.193,81.448,0.000,0.000,0.000,0.000,24.24,47.716,81.582,0.000,0.000,0.000,0.000,23.92,48.203,82.208,0.000,0.000,0.000,0.000,24.04,48.219,83.252,0.000,0.000,0.000,0.000,24.74,47.55,82.865,0.000,0.000,0.000,0.000,24.94,0,0,0.000,0.000,0.000,0.000,.00,47.277,84.183,0.000,0.000,0.000,0.000,26.29,47.711,84.528,0.000,0.000,0.000,0.000,26.11,47.015,85.184,0.000,0.000,0.000,0.000,26.79,46.362,85.878,0.000,0.000,0.000,0.000,28.04,46.378,86.45,0.000,0.000,0.000,0.000,28.31,45.967,86.612,0.074,0.000,0.260,0.260,28.83,45.861,87.224,0.144,0.000,0.508,0.508,29.28,45.699,87.681,0.489,0.000,0.824,0.824,29.67,0,0,0.657,0.000,0.000,0.000,.00
00:00.880,46.063,77.562,0.000,0.000,0.000,0.000,22.30,46.541,77.989,0.000,0.000,0.000,0.000,22.23,46.785,78.956,0.000,0.000,0.000,0.000,22.58,47.107,79.748,0.000,0.000,0.000,0.000,22.97,47.353,80.405,0.000,0.000,0.000,0.000,23.32,0,0,0.000,0.000,0.000,0.000,.00,47.119,81.423,0.000,0.000,0.000,0.000,24.22,47.712,81.522,0.000,0.000,0.000,0.000,23.95,48.149,82.095,0.000,0.000,0.000,0.000,24.05,48.478,83.207,0.000,0.000,0.000,0.000,24.77,47.541,82.845,0.000,0.000,0.000,0.000,24.97,0,0,0.000,0.000,0.000,0.000,.00,47.538,83.986,0.000,0.000,0.000,0.000,26.10,47.699,84.642,0.000,0.000,0.000,0.000,26.03,46.987,85.199,0.000,0.000,0.000,0.000,26.99,46.41,85.828,0.000,0.000,0.000,0.000,27.94,46.336,86.389,0.000,0.000,0.000,0.000,28.34,45.921,86.595,0.129,0.000,0.260,0.260,28.74,45.843,87.154,0.253,0.000,0.508,0.508,29.25,45.669,87.687,0.642,0.000,0.824,0.854,29.69,0,0,0.900,0.000,0.000,0.000,.00
00:00.880,46.063,77.562,0.000,0.000,0.000,0.000,22.30,46.541,77.989,0.000,0.000,0.000,0.000,22.23,46.785,78.956,0.000,0.000,0.000,0.000,22.58,47.107,79.748,0.000,0.000,0.000,0.000,22.97,47.353,80.405,0.000,0.000,0.000,0.000,23.32,0,0,0.000,0.000,0.000,0.000,.00,47.119,81.423,0.000,0.000,0.000,0.000,24.22,47.712,81.522,0.000,0.000,0.000,0.000,23.95,48.149,82.095,0.000,0.000,0.000,0.000,24.05,48.478,83.207,0.000,0.000,0.000,0.000,24.77,47.541,82.845,0.000,0.000,0.000,0.000,24.97,0,0,0.000,0.000,0.000,0.000,.00,47.538,83.986,0.000,0.000,0.000,0.000,26.10,47.699,84.642,0.000,0.000,0.000,0.000,26.03,46.987,85.199,0.000,0.000,0.000,0.000,26.99,46.41,85.828,0.000,0.000,0.000,0.000,27.94,46.336,86.389,0.000,0.000,0.000,0.000,28.34,45.921,86.595,0.172,0.000,0.260,0.260,28.74,45.843,87.154,0.337,0.000,0.508,0.508,29.25,45.669,87.687,0.761,0.000,0.824,0.854,29.69,0,0,1.089,0.000,0.000,0.000,.00
00:00.880,46.063,77.562,0.000,0.000,0.000,0.000,22.30,46.541,77.989,0.000,0.000,0.000,0.000,22.23,46.785,78.956,0.000,0.000,0.000,0.000,22.58,47.107,79.748,0.000,0.000,0.000,0.000,22.97,47.353,80.405,0.000,0.000,0.000,0.000,23.32,0,0,0.000,0.000,0.000,0.000,.00,47.119,81.423,0.000,0.000,0.000,0.000,24.22,47.712,81.522,0.000,0.000,0.000,0.000,23.95,48.149,82.095,0.000,0.000,0.000,0.000,24.05,48.478,83.207,0.000,0.000,0.000,0.000,24.77,47.541,82.845,0.000,0.000,0.000,0.000,24.97,0,0,0.000,0.000,0.000,0.000,.00,47.538,83.986,0.000,0.000,0.000,0.000,26.10,47.699,84.642,0.000,0.000,0.000,0.000,26.03,46.987,85.199,0.000,0.000,0.000,0.000,26.99,46.41,85.828,0.000,0.000,0.000,0.000,27.94,46.336,86.389,0.000,0.000,0.000,0.000,28.34,45.921,86.595,0.207,0.000,0.260,0.260,28.74,45.843,87.154,0.404,0.000,0.508,0.508,29.25,45.669,87.687,0.856,0.000,0.824,0.854,29.69,0,0,1.240,0.000,0.000,0.000,.00
